Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-100.7324	-130.6333	29.9009	0.5206796	4.740206	0.2148768	1.019023
6	-92.61462	-122.1072	29.49253	0.2303271	7.979941	0.1949698	1.019023
12	-99.25809	-128.461	29.20291	1.403656	4.991765	0.1949698	0.2880508
18	-101.72	-129.8987	28.17869	1.406087	7.611792	0.4133114	0.4048423
24	-92.83966	-122.7891	29.94949	0.809026	1.227399	1.428596	0.6150442
30	-91.74211	-123.7537	32.0116	0.2520184	0.4049579	0.508067	1.198077
36	-96.19896	-128.277	32.07804	0.6099277	0.4049579	0.2909079	1.198077
42	-91.13455	-121.3873	30.25277	0.4696975	1.272251	0.745771	1.325716
48	-94.80754	-125.5597	30.75219	0.2150782	1.272251	0.745771	1.118201
54	-106.1098	-135.3151	29.20532	0.4072593	2.607698	0.745771	1.544355
60	-95.20432	-124.3373	29.13298	0.3015897	2.607698	0.7999829	1.626429
66	-95.52567	-125.2364	29.71071	0.3424959	1.291532	0.7999829	1.761708
72	-93.59121	-123.2481	29.65687	0.07336915	3.642343	0.2556311	1.761708
78	-91.43667	-121.5522	30.1155	0.07420924	3.642343	0.5273114	0.9538787
84	-91.92535	-122.029	30.10362	0.002249109	4.106663	0.4668638	0.9784455
90	-100.096	-129.0433	28.94733	0.04529414	7.74974	0.4683347	1.167077
96	-93.22407	-122.619	29.39497	0.3314096	1.686944	0.4683347	2.101645
102	-93.0002	-122.6306	29.63044	0.2414152	1.686944	0.4683347	2.005493
108	-95.57358	-126.6786	31.10499	0.2497475	1.686944	0.1382828	1.530001
114	-99.29995	-127.1994	27.89948	0.09268017	3.407427	0.9374844	2.266943
120	-97.54688	-127.1306	29.5837	0.1606813	5.388829	0.30701	1.253151
126	-103.4244	-131.382	27.95753	0.05920725	16.30228	0.2172123	1.436582
132	-89.94451	-120.5917	30.64721	0.1747015	2.002128	0.4199143	1.231384
138	-101.3942	-133.9415	32.54725	0.4654489	0.6695776	0.1806496	0.7238627
144	-95.29506	-126.5832	31.28811	0.5712776	1.891418	0.2174275	0.6782965
150	-101.2983	-131.8459	30.54756	1.151832	0.7394128	0.6417959	1.065374
156	-98.06723	-127.9475	29.88032	0.4690169	3.400445	0.6417959	0.6141467
162	-100.0751	-129.5986	29.52345	0.4513163	8.667086	0.1636281	0.6704991
